timestamp,valueUS
1986/1/1,6.7
1986/2/1,7.2
1986/3/1,7.2
1986/4/1,7.1
1986/5/1,7.2
1986/6/1,7.2
1986/7/1,7
1986/8/1,6.9
1986/9/1,7
1986/10/1,7
1986/11/1,6.9
1986/12/1,6.6
1987/1/1,6.6
1987/2/1,6.6
1987/3/1,6.6
1987/4/1,6.3
1987/5/1,6.3
1987/6/1,6.2
1987/7/1,6.1
1987/8/1,6
1987/9/1,5.9
1987/10/1,6
1987/11/1,5.8
1987/12/1,5.7
1988/1/1,5.7
1988/2/1,5.7
1988/3/1,5.7
1988/4/1,5.4
1988/5/1,5.6
1988/6/1,5.4
1988/7/1,5.4
1988/8/1,5.6
1988/9/1,5.4
1988/10/1,5.4
1988/11/1,5.3
1988/12/1,5.3
1989/1/1,5.4
1989/2/1,5.2
1989/3/1,5
1989/4/1,5.2
1989/5/1,5.2
1989/6/1,5.3
1989/7/1,5.2
1989/8/1,5.2
1989/9/1,5.3
1989/10/1,5.3
1989/11/1,5.4
1989/12/1,5.4
1990/1/1,5.4
1990/2/1,5.3
1990/3/1,5.2
1990/4/1,5.4
1990/5/1,5.4
1990/6/1,5.2
1990/7/1,5.5
1990/8/1,5.7
1990/9/1,5.9
1990/10/1,5.9
1990/11/1,6.2
1990/12/1,6.3
1991/1/1,6.4
1991/2/1,6.6
1991/3/1,6.8
1991/4/1,6.7
1991/5/1,6.9
1991/6/1,6.9
1991/7/1,6.8
1991/8/1,6.9
1991/9/1,6.9
1991/10/1,7
1991/11/1,7
1991/12/1,7.3
1992/1/1,7.3
1992/2/1,7.4
1992/3/1,7.4
1992/4/1,7.4
1992/5/1,7.6
1992/6/1,7.8
1992/7/1,7.7
1992/8/1,7.6
1992/9/1,7.6
1992/10/1,7.3
1992/11/1,7.4
1992/12/1,7.4
1993/1/1,7.3
1993/2/1,7.1
1993/3/1,7
1993/4/1,7.1
1993/5/1,7.1
1993/6/1,7
1993/7/1,6.9
1993/8/1,6.8
1993/9/1,6.7
1993/10/1,6.8
1993/11/1,6.6
1993/12/1,6.5
1994/1/1,6.6
1994/2/1,6.6
1994/3/1,6.5
1994/4/1,6.4
1994/5/1,6.1
1994/6/1,6.1
1994/7/1,6.1
1994/8/1,6
1994/9/1,5.9
1994/10/1,5.8
1994/11/1,5.6
1994/12/1,5.5
1995/1/1,5.6
1995/2/1,5.4
1995/3/1,5.4
1995/4/1,5.8
1995/5/1,5.6
1995/6/1,5.6
1995/7/1,5.7
1995/8/1,5.7
1995/9/1,5.6
1995/10/1,5.5
1995/11/1,5.6
1995/12/1,5.6
1996/1/1,5.6
1996/2/1,5.5
1996/3/1,5.5
1996/4/1,5.6
1996/5/1,5.6
1996/6/1,5.3
1996/7/1,5.5
1996/8/1,5.1
1996/9/1,5.2
1996/10/1,5.2
1996/11/1,5.4
1996/12/1,5.4
1997/1/1,5.3
1997/2/1,5.2
1997/3/1,5.2
1997/4/1,5.1
1997/5/1,4.9
1997/6/1,5
1997/7/1,4.9
1997/8/1,4.8
1997/9/1,4.9
1997/10/1,4.7
1997/11/1,4.6
1997/12/1,4.7
1998/1/1,4.6
1998/2/1,4.6
1998/3/1,4.7
1998/4/1,4.3
1998/5/1,4.4
1998/6/1,4.5
1998/7/1,4.5
1998/8/1,4.5
1998/9/1,4.6
1998/10/1,4.5
1998/11/1,4.4
1998/12/1,4.4
1999/1/1,4.3
1999/2/1,4.4
1999/3/1,4.2
1999/4/1,4.3
1999/5/1,4.2
1999/6/1,4.3
1999/7/1,4.3
1999/8/1,4.2
1999/9/1,4.2
1999/10/1,4.1
1999/11/1,4.1
1999/12/1,4
2000/1/1,4
2000/2/1,4.1
2000/3/1,4
2000/4/1,3.8
2000/5/1,4
2000/6/1,4
2000/7/1,4
2000/8/1,4.1
2000/9/1,3.9
2000/10/1,3.9
2000/11/1,3.9
2000/12/1,3.9
2001/1/1,4.2
2001/2/1,4.2
2001/3/1,4.3
2001/4/1,4.4
2001/5/1,4.3
2001/6/1,4.5
2001/7/1,4.6
2001/8/1,4.9
2001/9/1,5
2001/10/1,5.3
2001/11/1,5.5
2001/12/1,5.7
2002/1/1,5.7
2002/2/1,5.7
2002/3/1,5.7
2002/4/1,5.9
2002/5/1,5.8
2002/6/1,5.8
2002/7/1,5.8
2002/8/1,5.7
2002/9/1,5.7
2002/10/1,5.7
2002/11/1,5.9
2002/12/1,6
2003/1/1,5.8
2003/2/1,5.9
2003/3/1,5.9
2003/4/1,6
2003/5/1,6.1
2003/6/1,6.3
2003/7/1,6.2
2003/8/1,6.1
2003/9/1,6.1
2003/10/1,6
2003/11/1,5.8
2003/12/1,5.7
2004/1/1,5.7
2004/2/1,5.6
2004/3/1,5.8
2004/4/1,5.6
2004/5/1,5.6
2004/6/1,5.6
2004/7/1,5.5
2004/8/1,5.4
2004/9/1,5.4
2004/10/1,5.5
2004/11/1,5.4
2004/12/1,5.4
2005/1/1,5.2
2005/2/1,5.4
2005/3/1,5.2
2005/4/1,5.1
2005/5/1,5.1
2005/6/1,5
2005/7/1,5
2005/8/1,4.9
2005/9/1,5.1
2005/10/1,5
2005/11/1,5
2005/12/1,4.8
2006/1/1,4.7
2006/2/1,4.7
2006/3/1,4.7
2006/4/1,4.7
2006/5/1,4.7
2006/6/1,4.6
2006/7/1,4.7
2006/8/1,4.7
2006/9/1,4.5
2006/10/1,4.4
2006/11/1,4.5
2006/12/1,4.4
